year,ticker,list_kind,priced,entry_date,exit_date,price_col,return,benchmark_ret,abnormal_ret
2021,TNXP,addition,True,2021-06-07,2021-06-25,adjClose,-0.13138686131386879,0.009467139915354084,-0.14085400122922287
2022,TNXP,deletion,True,2022-06-06,2022-06-24,adjClose,-0.18695652173913047,-0.06551746377655376,-0.1214390579625767
2022,TOI,addition,True,2022-06-06,2022-06-24,adjClose,-0.21302578018995932,-0.06551746377655376,-0.14750831641340556
2023,TOI,deletion,True,2023-05-22,2023-06-23,adjClose,0.30232558139534893,0.01571050492389836,0.28661507647145057
2022,TRDA,deletion,True,2022-06-06,2022-06-24,adjClose,0.48636363636363655,-0.06551746377655376,0.5518811001401903
2023,TRDA,addition,True,2023-05-22,2023-06-23,adjClose,0.12605042016806722,0.01571050492389836,0.11033991524416886
2021,TRVN,addition,True,2021-06-07,2021-06-25,adjClose,0.0,0.009467139915354084,-0.009467139915354084
2022,TRVN,deletion,True,2022-06-06,2022-06-24,adjClose,0.11911134903640264,-0.06551746377655376,0.1846288128129564
2017,TRXC,deletion,False,,,,,,
2018,TRXC,addition,False,,,,,,
2020,TRXC,deletion,False,,,,,,
2017,TSBK,addition,True,2017-06-01,2017-06-23,adjClose,0.028200537157940353,0.014105793450912563,0.01409474370702779
2021,TSBK,deletion,True,2021-06-07,2021-06-25,adjClose,-0.0010359116029282633,0.009467139915354084,-0.010503051518282347
2023,TSBK,addition,True,2023-05-22,2023-06-23,adjClose,0.05892399658321956,0.01571050492389836,0.0432134916593212
2021,TTCF,addition,True,2021-06-07,2021-06-25,adjClose,-0.1386735572782084,0.009467139915354084,-0.1481406971935625
2023,TTCF,deletion,True,2023-05-22,2023-06-23,adjClose,-0.19426654467825566,0.01571050492389836,-0.20997704960215402
2020,TTI,deletion,True,2020-06-15,2020-06-26,adjClose,0.19565217391304346,-0.030640470954920174,0.22629264486796363
2021,TTI,addition,True,2021-06-07,2021-06-25,adjClose,0.14168937329700282,0.009467139915354084,0.13222223338164873
2016,TTNP,addition,True,2016-06-13,2016-06-24,adjClose,-0.08640000000000003,-0.019684696454071005,-0.06671530354592903
2017,TTNP,deletion,True,2017-06-01,2017-06-23,adjClose,-0.08510638297872342,0.014105793450912563,-0.09921217642963598
2017,TTOO,deletion,True,2017-06-01,2017-06-23,adjClose,0.040322580645161255,0.014105793450912563,0.026216787194248692
2018,TTOO,addition,True,2018-06-11,2018-06-22,adjClose,-0.09012875536480691,0.0062960964203993,-0.09642485178520621
2020,TUSK,deletion,True,2020-06-15,2020-06-26,adjClose,-0.3523316062176166,-0.030640470954920174,-0.32169113526269644
2023,TUSK,addition,True,2023-05-22,2023-06-23,adjClose,0.14950980392156876,0.01571050492389836,0.1337992989976704
2020,TWI,deletion,True,2020-06-15,2020-06-26,adjClose,-0.21052631578947356,-0.030640470954920174,-0.1798858448345534
2021,TWI,addition,True,2021-06-07,2021-06-25,adjClose,-0.10498960498960497,0.009467139915354084,-0.11445674490495905
2016,TWIN,deletion,True,2016-06-13,2016-06-24,adjClose,-0.010050251250781184,-0.019684696454071005,0.009634445203289821
