company,symbol,sector,list_kind,index_kind,source_file
FARMERS NATL BANC CORP,FMNB,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
FARMLAND PARTNERS INC,FPI,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
FBR & CO,FBRC,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
FIRST COMMUNITY FINL INC,FCFP,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
FIRST FINL NORTHWEST,FFNW,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
FIRST FNDTN INC,FFWM,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
FIRST INTERNET BANCORP,INBK,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
FIRST MID ILL BANCSHARES,FMBH,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
FIRST NORTHWEST BANCORP,FNWB,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
FORTRESS BIOTECH INC,FBIO,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GAIAM INC,GAIA,Consumer Discretionary,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GENCOR INDUSTRIES INC,GENC,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GIGPEAK INC,GIG,Technology,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GLOBAL NET LEASE INC,GNL,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GLOBAL SOURCES LTD,GSOL,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GLOBAL WATER RESOURCES,GWRS,Utilities,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GLYCOMIMETICS INC,GLYC,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GMS INC,GMS,Materials & Processing,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GOLD RESOURCE CORP,GORO,Materials & Processing,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GOLDEN ENTERTAINMENT INC,GDEN,Consumer Discretionary,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GREENE COUNTY BANCORP,GCBC,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GREIF INC,GEF.B,Materials & Processing,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
GRIFFIN INDUSTRIAL RLTY,GRIF,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
HARDINGE INC,HDNG,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
HENNESSY ADVISORS INC,HNNA,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
HIGHER ONE HLDGS INC,ONE,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
HOME BANCORP INC,HBCP,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
HORIZON PHARMA PLC,HZNP,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
IDI INC,IDI,Consumer Discretionary,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
IES HOLDINGS INC,IESC,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
INFORMATION SERVICES GRP,III,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
INOTEK PHARMACEUTICALS,ITEK,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
INTELLA THERAPEUTICS INC,NTLA,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
